index,grid_x,grid_y,filename,rarity,name,role
1,0,0,001_mythic_assassin_001.png,mythic,assassin_001,assassin
2,1,0,002_mythic_assassin_002.png,mythic,assassin_002,assassin
3,2,0,003_mythic_assassin_003.png,mythic,assassin_003,assassin
4,3,0,004_mythic_assassin_004.png,mythic,assassin_004,assassin
5,4,0,005_mythic_assassin_005.png,mythic,assassin_005,assassin
6,5,0,006_mythic_assassin_006.png,mythic,assassin_006,assassin
7,6,0,007_mythic_assassin_007.png,mythic,assassin_007,assassin
8,7,0,008_mythic_assassin_008.png,mythic,assassin_008,assassin
9,0,1,009_mythic_assassin_009.png,mythic,assassin_009,assassin
10,1,1,010_mythic_assassin_010.png,mythic,assassin_010,assassin
11,2,1,011_mythic_assassin_011.png,mythic,assassin_011,assassin
12,3,1,012_mythic_assassin_012.png,mythic,assassin_012,assassin
13,4,1,013_mythic_assassin_013.png,mythic,assassin_013,assassin
14,5,1,014_mythic_assassin_014.png,mythic,assassin_014,assassin
15,6,1,015_mythic_assassin_015.png,mythic,assassin_015,assassin
16,7,1,016_mythic_assassin_016.png,mythic,assassin_016,assassin
17,0,2,017_mythic_assassin_017.png,mythic,assassin_017,assassin
18,1,2,018_mythic_assassin_018.png,mythic,assassin_018,assassin
19,2,2,019_mythic_assassin_019.png,mythic,assassin_019,assassin
20,3,2,020_mythic_assassin_020.png,mythic,assassin_020,assassin
21,4,2,021_mythic_assassin_021.png,mythic,assassin_021,assassin
22,5,2,022_mythic_assassin_022.png,mythic,assassin_022,assassin
23,6,2,023_mythic_assassin_023.png,mythic,assassin_023,assassin
24,7,2,024_mythic_assassin_024.png,mythic,assassin_024,assassin
25,0,3,025_mythic_assassin_025.png,mythic,assassin_025,assassin
26,1,3,026_mythic_assassin_026.png,mythic,assassin_026,assassin
27,2,3,027_mythic_assassin_027.png,mythic,assassin_027,assassin
28,3,3,028_mythic_assassin_028.png,mythic,assassin_028,assassin
29,4,3,029_mythic_assassin_029.png,mythic,assassin_029,assassin
30,5,3,030_mythic_assassin_030.png,mythic,assassin_030,assassin
31,6,3,031_mythic_assassin_031.png,mythic,assassin_031,assassin
32,7,3,032_legendary_assassin_032.png,legendary,assassin_032,assassin
33,0,4,033_mythic_assassin_033.png,mythic,assassin_033,assassin
34,1,4,034_mythic_assassin_034.png,mythic,assassin_034,assassin
35,2,4,035_mythic_assassin_035.png,mythic,assassin_035,assassin
36,3,4,036_mythic_assassin_036.png,mythic,assassin_036,assassin
37,4,4,037_mythic_assassin_037.png,mythic,assassin_037,assassin
38,5,4,038_mythic_assassin_038.png,mythic,assassin_038,assassin
39,6,4,039_mythic_assassin_039.png,mythic,assassin_039,assassin
40,7,4,040_mythic_assassin_040.png,mythic,assassin_040,assassin
41,0,5,041_mythic_assassin_041.png,mythic,assassin_041,assassin
42,1,5,042_mythic_assassin_042.png,mythic,assassin_042,assassin
43,2,5,043_mythic_assassin_043.png,mythic,assassin_043,assassin
44,3,5,044_mythic_assassin_044.png,mythic,assassin_044,assassin
45,4,5,045_mythic_assassin_045.png,mythic,assassin_045,assassin
46,5,5,046_mythic_assassin_046.png,mythic,assassin_046,assassin
47,6,5,047_mythic_assassin_047.png,mythic,assassin_047,assassin
48,7,5,048_mythic_assassin_048.png,mythic,assassin_048,assassin
49,0,6,049_mythic_assassin_049.png,mythic,assassin_049,assassin
50,1,6,050_mythic_assassin_050.png,mythic,assassin_050,assassin
51,2,6,051_mythic_assassin_051.png,mythic,assassin_051,assassin
52,3,6,052_mythic_assassin_052.png,mythic,assassin_052,assassin
53,4,6,053_mythic_assassin_053.png,mythic,assassin_053,assassin
54,5,6,054_mythic_assassin_054.png,mythic,assassin_054,assassin
55,6,6,055_mythic_assassin_055.png,mythic,assassin_055,assassin
56,7,6,056_mythic_assassin_056.png,mythic,assassin_056,assassin
57,0,7,057_epic_assassin_057.png,epic,assassin_057,assassin
58,1,7,058_legendary_assassin_058.png,legendary,assassin_058,assassin
59,2,7,059_legendary_assassin_059.png,legendary,assassin_059,assassin
60,3,7,060_epic_assassin_060.png,epic,assassin_060,assassin
61,4,7,061_legendary_assassin_061.png,legendary,assassin_061,assassin
62,5,7,062_legendary_assassin_062.png,legendary,assassin_062,assassin
63,6,7,063_legendary_assassin_063.png,legendary,assassin_063,assassin
64,7,7,064_epic_assassin_064.png,epic,assassin_064,assassin
