index,grid_x,grid_y,filename,rarity,name,role
1,0,0,001_mythic_cleric_001.png,mythic,cleric_001,cleric
2,1,0,002_mythic_cleric_002.png,mythic,cleric_002,cleric
3,2,0,003_mythic_cleric_003.png,mythic,cleric_003,cleric
4,3,0,004_mythic_cleric_004.png,mythic,cleric_004,cleric
5,4,0,005_mythic_cleric_005.png,mythic,cleric_005,cleric
6,5,0,006_mythic_cleric_006.png,mythic,cleric_006,cleric
7,6,0,007_mythic_cleric_007.png,mythic,cleric_007,cleric
8,7,0,008_mythic_cleric_008.png,mythic,cleric_008,cleric
9,0,1,009_mythic_cleric_009.png,mythic,cleric_009,cleric
10,1,1,010_mythic_cleric_010.png,mythic,cleric_010,cleric
11,2,1,011_mythic_cleric_011.png,mythic,cleric_011,cleric
12,3,1,012_mythic_cleric_012.png,mythic,cleric_012,cleric
13,4,1,013_mythic_cleric_013.png,mythic,cleric_013,cleric
14,5,1,014_mythic_cleric_014.png,mythic,cleric_014,cleric
15,6,1,015_mythic_cleric_015.png,mythic,cleric_015,cleric
16,7,1,016_mythic_cleric_016.png,mythic,cleric_016,cleric
17,0,2,017_mythic_cleric_017.png,mythic,cleric_017,cleric
18,1,2,018_mythic_cleric_018.png,mythic,cleric_018,cleric
19,2,2,019_mythic_cleric_019.png,mythic,cleric_019,cleric
20,3,2,020_mythic_cleric_020.png,mythic,cleric_020,cleric
21,4,2,021_mythic_cleric_021.png,mythic,cleric_021,cleric
22,5,2,022_mythic_cleric_022.png,mythic,cleric_022,cleric
23,6,2,023_mythic_cleric_023.png,mythic,cleric_023,cleric
24,7,2,024_mythic_cleric_024.png,mythic,cleric_024,cleric
25,0,3,025_mythic_cleric_025.png,mythic,cleric_025,cleric
26,1,3,026_mythic_cleric_026.png,mythic,cleric_026,cleric
27,2,3,027_mythic_cleric_027.png,mythic,cleric_027,cleric
28,3,3,028_mythic_cleric_028.png,mythic,cleric_028,cleric
29,4,3,029_mythic_cleric_029.png,mythic,cleric_029,cleric
30,5,3,030_mythic_cleric_030.png,mythic,cleric_030,cleric
31,6,3,031_mythic_cleric_031.png,mythic,cleric_031,cleric
32,7,3,032_mythic_cleric_032.png,mythic,cleric_032,cleric
33,0,4,033_legendary_cleric_033.png,legendary,cleric_033,cleric
34,1,4,034_mythic_cleric_034.png,mythic,cleric_034,cleric
35,2,4,035_mythic_cleric_035.png,mythic,cleric_035,cleric
36,3,4,036_mythic_cleric_036.png,mythic,cleric_036,cleric
37,4,4,037_mythic_cleric_037.png,mythic,cleric_037,cleric
38,5,4,038_mythic_cleric_038.png,mythic,cleric_038,cleric
39,6,4,039_legendary_cleric_039.png,legendary,cleric_039,cleric
40,7,4,040_legendary_cleric_040.png,legendary,cleric_040,cleric
41,0,5,041_mythic_cleric_041.png,mythic,cleric_041,cleric
42,1,5,042_mythic_cleric_042.png,mythic,cleric_042,cleric
43,2,5,043_mythic_cleric_043.png,mythic,cleric_043,cleric
44,3,5,044_mythic_cleric_044.png,mythic,cleric_044,cleric
45,4,5,045_mythic_cleric_045.png,mythic,cleric_045,cleric
46,5,5,046_mythic_cleric_046.png,mythic,cleric_046,cleric
47,6,5,047_mythic_cleric_047.png,mythic,cleric_047,cleric
48,7,5,048_mythic_cleric_048.png,mythic,cleric_048,cleric
49,0,6,049_mythic_cleric_049.png,mythic,cleric_049,cleric
50,1,6,050_mythic_cleric_050.png,mythic,cleric_050,cleric
51,2,6,051_mythic_cleric_051.png,mythic,cleric_051,cleric
52,3,6,052_mythic_cleric_052.png,mythic,cleric_052,cleric
53,4,6,053_mythic_cleric_053.png,mythic,cleric_053,cleric
54,5,6,054_mythic_cleric_054.png,mythic,cleric_054,cleric
55,6,6,055_mythic_cleric_055.png,mythic,cleric_055,cleric
56,7,6,056_mythic_cleric_056.png,mythic,cleric_056,cleric
57,0,7,057_legendary_cleric_057.png,legendary,cleric_057,cleric
58,1,7,058_legendary_cleric_058.png,legendary,cleric_058,cleric
59,2,7,059_mythic_cleric_059.png,mythic,cleric_059,cleric
60,3,7,060_legendary_cleric_060.png,legendary,cleric_060,cleric
61,4,7,061_legendary_cleric_061.png,legendary,cleric_061,cleric
62,5,7,062_legendary_cleric_062.png,legendary,cleric_062,cleric
63,6,7,063_legendary_cleric_063.png,legendary,cleric_063,cleric
64,7,7,064_legendary_cleric_064.png,legendary,cleric_064,cleric
