index,grid_x,grid_y,filename,rarity,name,role
1,0,0,001_mythic_engineer_001.png,mythic,engineer_001,engineer
2,1,0,002_mythic_engineer_002.png,mythic,engineer_002,engineer
3,2,0,003_mythic_engineer_003.png,mythic,engineer_003,engineer
4,3,0,004_mythic_engineer_004.png,mythic,engineer_004,engineer
5,4,0,005_mythic_engineer_005.png,mythic,engineer_005,engineer
6,5,0,006_mythic_engineer_006.png,mythic,engineer_006,engineer
7,6,0,007_mythic_engineer_007.png,mythic,engineer_007,engineer
8,7,0,008_mythic_engineer_008.png,mythic,engineer_008,engineer
9,0,1,009_mythic_engineer_009.png,mythic,engineer_009,engineer
10,1,1,010_mythic_engineer_010.png,mythic,engineer_010,engineer
11,2,1,011_mythic_engineer_011.png,mythic,engineer_011,engineer
12,3,1,012_mythic_engineer_012.png,mythic,engineer_012,engineer
13,4,1,013_mythic_engineer_013.png,mythic,engineer_013,engineer
14,5,1,014_mythic_engineer_014.png,mythic,engineer_014,engineer
15,6,1,015_mythic_engineer_015.png,mythic,engineer_015,engineer
16,7,1,016_mythic_engineer_016.png,mythic,engineer_016,engineer
17,0,2,017_mythic_engineer_017.png,mythic,engineer_017,engineer
18,1,2,018_mythic_engineer_018.png,mythic,engineer_018,engineer
19,2,2,019_mythic_engineer_019.png,mythic,engineer_019,engineer
20,3,2,020_mythic_engineer_020.png,mythic,engineer_020,engineer
21,4,2,021_mythic_engineer_021.png,mythic,engineer_021,engineer
22,5,2,022_mythic_engineer_022.png,mythic,engineer_022,engineer
23,6,2,023_mythic_engineer_023.png,mythic,engineer_023,engineer
24,7,2,024_mythic_engineer_024.png,mythic,engineer_024,engineer
25,0,3,025_mythic_engineer_025.png,mythic,engineer_025,engineer
26,1,3,026_mythic_engineer_026.png,mythic,engineer_026,engineer
27,2,3,027_mythic_engineer_027.png,mythic,engineer_027,engineer
28,3,3,028_mythic_engineer_028.png,mythic,engineer_028,engineer
29,4,3,029_mythic_engineer_029.png,mythic,engineer_029,engineer
30,5,3,030_mythic_engineer_030.png,mythic,engineer_030,engineer
31,6,3,031_mythic_engineer_031.png,mythic,engineer_031,engineer
32,7,3,032_mythic_engineer_032.png,mythic,engineer_032,engineer
33,0,4,033_mythic_engineer_033.png,mythic,engineer_033,engineer
34,1,4,034_mythic_engineer_034.png,mythic,engineer_034,engineer
35,2,4,035_mythic_engineer_035.png,mythic,engineer_035,engineer
36,3,4,036_mythic_engineer_036.png,mythic,engineer_036,engineer
37,4,4,037_mythic_engineer_037.png,mythic,engineer_037,engineer
38,5,4,038_mythic_engineer_038.png,mythic,engineer_038,engineer
39,6,4,039_mythic_engineer_039.png,mythic,engineer_039,engineer
40,7,4,040_mythic_engineer_040.png,mythic,engineer_040,engineer
41,0,5,041_mythic_engineer_041.png,mythic,engineer_041,engineer
42,1,5,042_mythic_engineer_042.png,mythic,engineer_042,engineer
43,2,5,043_mythic_engineer_043.png,mythic,engineer_043,engineer
44,3,5,044_mythic_engineer_044.png,mythic,engineer_044,engineer
45,4,5,045_mythic_engineer_045.png,mythic,engineer_045,engineer
46,5,5,046_mythic_engineer_046.png,mythic,engineer_046,engineer
47,6,5,047_mythic_engineer_047.png,mythic,engineer_047,engineer
48,7,5,048_mythic_engineer_048.png,mythic,engineer_048,engineer
49,0,6,049_mythic_engineer_049.png,mythic,engineer_049,engineer
50,1,6,050_mythic_engineer_050.png,mythic,engineer_050,engineer
51,2,6,051_mythic_engineer_051.png,mythic,engineer_051,engineer
52,3,6,052_mythic_engineer_052.png,mythic,engineer_052,engineer
53,4,6,053_mythic_engineer_053.png,mythic,engineer_053,engineer
54,5,6,054_mythic_engineer_054.png,mythic,engineer_054,engineer
55,6,6,055_mythic_engineer_055.png,mythic,engineer_055,engineer
56,7,6,056_mythic_engineer_056.png,mythic,engineer_056,engineer
57,0,7,057_mythic_engineer_057.png,mythic,engineer_057,engineer
58,1,7,058_mythic_engineer_058.png,mythic,engineer_058,engineer
59,2,7,059_mythic_engineer_059.png,mythic,engineer_059,engineer
60,3,7,060_mythic_engineer_060.png,mythic,engineer_060,engineer
61,4,7,061_mythic_engineer_061.png,mythic,engineer_061,engineer
62,5,7,062_mythic_engineer_062.png,mythic,engineer_062,engineer
63,6,7,063_mythic_engineer_063.png,mythic,engineer_063,engineer
64,7,7,064_mythic_engineer_064.png,mythic,engineer_064,engineer
