index,grid_x,grid_y,filename,rarity,name,role
1,0,0,001_mythic_scout_001.png,mythic,scout_001,scout
2,1,0,002_mythic_scout_002.png,mythic,scout_002,scout
3,2,0,003_mythic_scout_003.png,mythic,scout_003,scout
4,3,0,004_mythic_scout_004.png,mythic,scout_004,scout
5,4,0,005_mythic_scout_005.png,mythic,scout_005,scout
6,5,0,006_mythic_scout_006.png,mythic,scout_006,scout
7,6,0,007_mythic_scout_007.png,mythic,scout_007,scout
8,7,0,008_mythic_scout_008.png,mythic,scout_008,scout
9,0,1,009_mythic_scout_009.png,mythic,scout_009,scout
10,1,1,010_mythic_scout_010.png,mythic,scout_010,scout
11,2,1,011_mythic_scout_011.png,mythic,scout_011,scout
12,3,1,012_mythic_scout_012.png,mythic,scout_012,scout
13,4,1,013_mythic_scout_013.png,mythic,scout_013,scout
14,5,1,014_mythic_scout_014.png,mythic,scout_014,scout
15,6,1,015_mythic_scout_015.png,mythic,scout_015,scout
16,7,1,016_mythic_scout_016.png,mythic,scout_016,scout
17,0,2,017_mythic_scout_017.png,mythic,scout_017,scout
18,1,2,018_mythic_scout_018.png,mythic,scout_018,scout
19,2,2,019_mythic_scout_019.png,mythic,scout_019,scout
20,3,2,020_mythic_scout_020.png,mythic,scout_020,scout
21,4,2,021_mythic_scout_021.png,mythic,scout_021,scout
22,5,2,022_mythic_scout_022.png,mythic,scout_022,scout
23,6,2,023_mythic_scout_023.png,mythic,scout_023,scout
24,7,2,024_mythic_scout_024.png,mythic,scout_024,scout
25,0,3,025_mythic_scout_025.png,mythic,scout_025,scout
26,1,3,026_mythic_scout_026.png,mythic,scout_026,scout
27,2,3,027_mythic_scout_027.png,mythic,scout_027,scout
28,3,3,028_mythic_scout_028.png,mythic,scout_028,scout
29,4,3,029_mythic_scout_029.png,mythic,scout_029,scout
30,5,3,030_mythic_scout_030.png,mythic,scout_030,scout
31,6,3,031_mythic_scout_031.png,mythic,scout_031,scout
32,7,3,032_mythic_scout_032.png,mythic,scout_032,scout
33,0,4,033_mythic_scout_033.png,mythic,scout_033,scout
34,1,4,034_mythic_scout_034.png,mythic,scout_034,scout
35,2,4,035_mythic_scout_035.png,mythic,scout_035,scout
36,3,4,036_mythic_scout_036.png,mythic,scout_036,scout
37,4,4,037_mythic_scout_037.png,mythic,scout_037,scout
38,5,4,038_mythic_scout_038.png,mythic,scout_038,scout
39,6,4,039_mythic_scout_039.png,mythic,scout_039,scout
40,7,4,040_mythic_scout_040.png,mythic,scout_040,scout
41,0,5,041_mythic_scout_041.png,mythic,scout_041,scout
42,1,5,042_mythic_scout_042.png,mythic,scout_042,scout
43,2,5,043_mythic_scout_043.png,mythic,scout_043,scout
44,3,5,044_mythic_scout_044.png,mythic,scout_044,scout
45,4,5,045_mythic_scout_045.png,mythic,scout_045,scout
46,5,5,046_mythic_scout_046.png,mythic,scout_046,scout
47,6,5,047_mythic_scout_047.png,mythic,scout_047,scout
48,7,5,048_mythic_scout_048.png,mythic,scout_048,scout
49,0,6,049_mythic_scout_049.png,mythic,scout_049,scout
50,1,6,050_mythic_scout_050.png,mythic,scout_050,scout
51,2,6,051_mythic_scout_051.png,mythic,scout_051,scout
52,3,6,052_mythic_scout_052.png,mythic,scout_052,scout
53,4,6,053_mythic_scout_053.png,mythic,scout_053,scout
54,5,6,054_mythic_scout_054.png,mythic,scout_054,scout
55,6,6,055_mythic_scout_055.png,mythic,scout_055,scout
56,7,6,056_mythic_scout_056.png,mythic,scout_056,scout
57,0,7,057_mythic_scout_057.png,mythic,scout_057,scout
58,1,7,058_mythic_scout_058.png,mythic,scout_058,scout
59,2,7,059_mythic_scout_059.png,mythic,scout_059,scout
60,3,7,060_mythic_scout_060.png,mythic,scout_060,scout
61,4,7,061_mythic_scout_061.png,mythic,scout_061,scout
62,5,7,062_mythic_scout_062.png,mythic,scout_062,scout
63,6,7,063_mythic_scout_063.png,mythic,scout_063,scout
64,7,7,064_mythic_scout_064.png,mythic,scout_064,scout
