index,grid_x,grid_y,filename,rarity,name,role
1,0,0,001_mythic_support_001.png,mythic,support_001,support
2,1,0,002_mythic_support_002.png,mythic,support_002,support
3,2,0,003_mythic_support_003.png,mythic,support_003,support
4,3,0,004_mythic_support_004.png,mythic,support_004,support
5,4,0,005_mythic_support_005.png,mythic,support_005,support
6,5,0,006_mythic_support_006.png,mythic,support_006,support
7,6,0,007_mythic_support_007.png,mythic,support_007,support
8,7,0,008_mythic_support_008.png,mythic,support_008,support
9,0,1,009_mythic_support_009.png,mythic,support_009,support
10,1,1,010_mythic_support_010.png,mythic,support_010,support
11,2,1,011_mythic_support_011.png,mythic,support_011,support
12,3,1,012_mythic_support_012.png,mythic,support_012,support
13,4,1,013_mythic_support_013.png,mythic,support_013,support
14,5,1,014_mythic_support_014.png,mythic,support_014,support
15,6,1,015_mythic_support_015.png,mythic,support_015,support
16,7,1,016_mythic_support_016.png,mythic,support_016,support
17,0,2,017_mythic_support_017.png,mythic,support_017,support
18,1,2,018_mythic_support_018.png,mythic,support_018,support
19,2,2,019_mythic_support_019.png,mythic,support_019,support
20,3,2,020_mythic_support_020.png,mythic,support_020,support
21,4,2,021_mythic_support_021.png,mythic,support_021,support
22,5,2,022_mythic_support_022.png,mythic,support_022,support
23,6,2,023_mythic_support_023.png,mythic,support_023,support
24,7,2,024_mythic_support_024.png,mythic,support_024,support
25,0,3,025_mythic_support_025.png,mythic,support_025,support
26,1,3,026_mythic_support_026.png,mythic,support_026,support
27,2,3,027_mythic_support_027.png,mythic,support_027,support
28,3,3,028_mythic_support_028.png,mythic,support_028,support
29,4,3,029_mythic_support_029.png,mythic,support_029,support
30,5,3,030_mythic_support_030.png,mythic,support_030,support
31,6,3,031_mythic_support_031.png,mythic,support_031,support
32,7,3,032_mythic_support_032.png,mythic,support_032,support
33,0,4,033_mythic_support_033.png,mythic,support_033,support
34,1,4,034_mythic_support_034.png,mythic,support_034,support
35,2,4,035_mythic_support_035.png,mythic,support_035,support
36,3,4,036_mythic_support_036.png,mythic,support_036,support
37,4,4,037_mythic_support_037.png,mythic,support_037,support
38,5,4,038_mythic_support_038.png,mythic,support_038,support
39,6,4,039_mythic_support_039.png,mythic,support_039,support
40,7,4,040_mythic_support_040.png,mythic,support_040,support
41,0,5,041_mythic_support_041.png,mythic,support_041,support
42,1,5,042_mythic_support_042.png,mythic,support_042,support
43,2,5,043_mythic_support_043.png,mythic,support_043,support
44,3,5,044_mythic_support_044.png,mythic,support_044,support
45,4,5,045_mythic_support_045.png,mythic,support_045,support
46,5,5,046_mythic_support_046.png,mythic,support_046,support
47,6,5,047_mythic_support_047.png,mythic,support_047,support
48,7,5,048_mythic_support_048.png,mythic,support_048,support
49,0,6,049_mythic_support_049.png,mythic,support_049,support
50,1,6,050_mythic_support_050.png,mythic,support_050,support
51,2,6,051_mythic_support_051.png,mythic,support_051,support
52,3,6,052_mythic_support_052.png,mythic,support_052,support
53,4,6,053_mythic_support_053.png,mythic,support_053,support
54,5,6,054_mythic_support_054.png,mythic,support_054,support
55,6,6,055_mythic_support_055.png,mythic,support_055,support
56,7,6,056_mythic_support_056.png,mythic,support_056,support
57,0,7,057_mythic_support_057.png,mythic,support_057,support
58,1,7,058_mythic_support_058.png,mythic,support_058,support
59,2,7,059_mythic_support_059.png,mythic,support_059,support
60,3,7,060_mythic_support_060.png,mythic,support_060,support
61,4,7,061_mythic_support_061.png,mythic,support_061,support
62,5,7,062_mythic_support_062.png,mythic,support_062,support
63,6,7,063_mythic_support_063.png,mythic,support_063,support
64,7,7,064_mythic_support_064.png,mythic,support_064,support
