index,grid_x,grid_y,filename,rarity,name,role
1,0,0,001_mythic_tank_001.png,mythic,tank_001,tank
2,1,0,002_mythic_tank_002.png,mythic,tank_002,tank
3,2,0,003_mythic_tank_003.png,mythic,tank_003,tank
4,3,0,004_mythic_tank_004.png,mythic,tank_004,tank
5,4,0,005_mythic_tank_005.png,mythic,tank_005,tank
6,5,0,006_mythic_tank_006.png,mythic,tank_006,tank
7,6,0,007_mythic_tank_007.png,mythic,tank_007,tank
8,7,0,008_mythic_tank_008.png,mythic,tank_008,tank
9,0,1,009_mythic_tank_009.png,mythic,tank_009,tank
10,1,1,010_mythic_tank_010.png,mythic,tank_010,tank
11,2,1,011_mythic_tank_011.png,mythic,tank_011,tank
12,3,1,012_mythic_tank_012.png,mythic,tank_012,tank
13,4,1,013_mythic_tank_013.png,mythic,tank_013,tank
14,5,1,014_mythic_tank_014.png,mythic,tank_014,tank
15,6,1,015_mythic_tank_015.png,mythic,tank_015,tank
16,7,1,016_mythic_tank_016.png,mythic,tank_016,tank
17,0,2,017_mythic_tank_017.png,mythic,tank_017,tank
18,1,2,018_mythic_tank_018.png,mythic,tank_018,tank
19,2,2,019_mythic_tank_019.png,mythic,tank_019,tank
20,3,2,020_mythic_tank_020.png,mythic,tank_020,tank
21,4,2,021_mythic_tank_021.png,mythic,tank_021,tank
22,5,2,022_mythic_tank_022.png,mythic,tank_022,tank
23,6,2,023_mythic_tank_023.png,mythic,tank_023,tank
24,7,2,024_mythic_tank_024.png,mythic,tank_024,tank
25,0,3,025_mythic_tank_025.png,mythic,tank_025,tank
26,1,3,026_mythic_tank_026.png,mythic,tank_026,tank
27,2,3,027_mythic_tank_027.png,mythic,tank_027,tank
28,3,3,028_mythic_tank_028.png,mythic,tank_028,tank
29,4,3,029_mythic_tank_029.png,mythic,tank_029,tank
30,5,3,030_mythic_tank_030.png,mythic,tank_030,tank
31,6,3,031_mythic_tank_031.png,mythic,tank_031,tank
32,7,3,032_mythic_tank_032.png,mythic,tank_032,tank
33,0,4,033_mythic_tank_033.png,mythic,tank_033,tank
34,1,4,034_mythic_tank_034.png,mythic,tank_034,tank
35,2,4,035_mythic_tank_035.png,mythic,tank_035,tank
36,3,4,036_mythic_tank_036.png,mythic,tank_036,tank
37,4,4,037_mythic_tank_037.png,mythic,tank_037,tank
38,5,4,038_mythic_tank_038.png,mythic,tank_038,tank
39,6,4,039_mythic_tank_039.png,mythic,tank_039,tank
40,7,4,040_mythic_tank_040.png,mythic,tank_040,tank
41,0,5,041_mythic_tank_041.png,mythic,tank_041,tank
42,1,5,042_mythic_tank_042.png,mythic,tank_042,tank
43,2,5,043_mythic_tank_043.png,mythic,tank_043,tank
44,3,5,044_mythic_tank_044.png,mythic,tank_044,tank
45,4,5,045_mythic_tank_045.png,mythic,tank_045,tank
46,5,5,046_mythic_tank_046.png,mythic,tank_046,tank
47,6,5,047_mythic_tank_047.png,mythic,tank_047,tank
48,7,5,048_mythic_tank_048.png,mythic,tank_048,tank
49,0,6,049_mythic_tank_049.png,mythic,tank_049,tank
50,1,6,050_mythic_tank_050.png,mythic,tank_050,tank
51,2,6,051_mythic_tank_051.png,mythic,tank_051,tank
52,3,6,052_mythic_tank_052.png,mythic,tank_052,tank
53,4,6,053_mythic_tank_053.png,mythic,tank_053,tank
54,5,6,054_mythic_tank_054.png,mythic,tank_054,tank
55,6,6,055_mythic_tank_055.png,mythic,tank_055,tank
56,7,6,056_mythic_tank_056.png,mythic,tank_056,tank
57,0,7,057_mythic_tank_057.png,mythic,tank_057,tank
58,1,7,058_mythic_tank_058.png,mythic,tank_058,tank
59,2,7,059_mythic_tank_059.png,mythic,tank_059,tank
60,3,7,060_mythic_tank_060.png,mythic,tank_060,tank
61,4,7,061_mythic_tank_061.png,mythic,tank_061,tank
62,5,7,062_mythic_tank_062.png,mythic,tank_062,tank
63,6,7,063_mythic_tank_063.png,mythic,tank_063,tank
64,7,7,064_mythic_tank_064.png,mythic,tank_064,tank
