index,grid_x,grid_y,filename,rarity,name,role
1,0,0,001_mythic_warrior_001.png,mythic,warrior_001,warrior
2,1,0,002_mythic_warrior_002.png,mythic,warrior_002,warrior
3,2,0,003_mythic_warrior_003.png,mythic,warrior_003,warrior
4,3,0,004_mythic_warrior_004.png,mythic,warrior_004,warrior
5,4,0,005_mythic_warrior_005.png,mythic,warrior_005,warrior
6,5,0,006_mythic_warrior_006.png,mythic,warrior_006,warrior
7,6,0,007_mythic_warrior_007.png,mythic,warrior_007,warrior
8,7,0,008_mythic_warrior_008.png,mythic,warrior_008,warrior
9,0,1,009_mythic_warrior_009.png,mythic,warrior_009,warrior
10,1,1,010_mythic_warrior_010.png,mythic,warrior_010,warrior
11,2,1,011_mythic_warrior_011.png,mythic,warrior_011,warrior
12,3,1,012_mythic_warrior_012.png,mythic,warrior_012,warrior
13,4,1,013_mythic_warrior_013.png,mythic,warrior_013,warrior
14,5,1,014_mythic_warrior_014.png,mythic,warrior_014,warrior
15,6,1,015_mythic_warrior_015.png,mythic,warrior_015,warrior
16,7,1,016_mythic_warrior_016.png,mythic,warrior_016,warrior
17,0,2,017_mythic_warrior_017.png,mythic,warrior_017,warrior
18,1,2,018_mythic_warrior_018.png,mythic,warrior_018,warrior
19,2,2,019_mythic_warrior_019.png,mythic,warrior_019,warrior
20,3,2,020_mythic_warrior_020.png,mythic,warrior_020,warrior
21,4,2,021_mythic_warrior_021.png,mythic,warrior_021,warrior
22,5,2,022_mythic_warrior_022.png,mythic,warrior_022,warrior
23,6,2,023_mythic_warrior_023.png,mythic,warrior_023,warrior
24,7,2,024_mythic_warrior_024.png,mythic,warrior_024,warrior
25,0,3,025_mythic_warrior_025.png,mythic,warrior_025,warrior
26,1,3,026_mythic_warrior_026.png,mythic,warrior_026,warrior
27,2,3,027_mythic_warrior_027.png,mythic,warrior_027,warrior
28,3,3,028_mythic_warrior_028.png,mythic,warrior_028,warrior
29,4,3,029_mythic_warrior_029.png,mythic,warrior_029,warrior
30,5,3,030_mythic_warrior_030.png,mythic,warrior_030,warrior
31,6,3,031_mythic_warrior_031.png,mythic,warrior_031,warrior
32,7,3,032_mythic_warrior_032.png,mythic,warrior_032,warrior
33,0,4,033_mythic_warrior_033.png,mythic,warrior_033,warrior
34,1,4,034_mythic_warrior_034.png,mythic,warrior_034,warrior
35,2,4,035_mythic_warrior_035.png,mythic,warrior_035,warrior
36,3,4,036_mythic_warrior_036.png,mythic,warrior_036,warrior
37,4,4,037_mythic_warrior_037.png,mythic,warrior_037,warrior
38,5,4,038_mythic_warrior_038.png,mythic,warrior_038,warrior
39,6,4,039_mythic_warrior_039.png,mythic,warrior_039,warrior
40,7,4,040_mythic_warrior_040.png,mythic,warrior_040,warrior
41,0,5,041_mythic_warrior_041.png,mythic,warrior_041,warrior
42,1,5,042_mythic_warrior_042.png,mythic,warrior_042,warrior
43,2,5,043_mythic_warrior_043.png,mythic,warrior_043,warrior
44,3,5,044_mythic_warrior_044.png,mythic,warrior_044,warrior
45,4,5,045_mythic_warrior_045.png,mythic,warrior_045,warrior
46,5,5,046_mythic_warrior_046.png,mythic,warrior_046,warrior
47,6,5,047_mythic_warrior_047.png,mythic,warrior_047,warrior
48,7,5,048_mythic_warrior_048.png,mythic,warrior_048,warrior
49,0,6,049_legendary_warrior_049.png,legendary,warrior_049,warrior
50,1,6,050_legendary_warrior_050.png,legendary,warrior_050,warrior
51,2,6,051_legendary_warrior_051.png,legendary,warrior_051,warrior
52,3,6,052_legendary_warrior_052.png,legendary,warrior_052,warrior
53,4,6,053_legendary_warrior_053.png,legendary,warrior_053,warrior
54,5,6,054_legendary_warrior_054.png,legendary,warrior_054,warrior
55,6,6,055_legendary_warrior_055.png,legendary,warrior_055,warrior
56,7,6,056_mythic_warrior_056.png,mythic,warrior_056,warrior
57,0,7,057_legendary_warrior_057.png,legendary,warrior_057,warrior
58,1,7,058_legendary_warrior_058.png,legendary,warrior_058,warrior
59,2,7,059_legendary_warrior_059.png,legendary,warrior_059,warrior
60,3,7,060_legendary_warrior_060.png,legendary,warrior_060,warrior
61,4,7,061_legendary_warrior_061.png,legendary,warrior_061,warrior
62,5,7,062_legendary_warrior_062.png,legendary,warrior_062,warrior
63,6,7,063_legendary_warrior_063.png,legendary,warrior_063,warrior
64,7,7,064_legendary_warrior_064.png,legendary,warrior_064,warrior
